Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Thermal_Stability_C,Biodegradability_Score,Recyclability_Percentage,CO2_Emission_Score,Environmental_Impact_Score
Seaweed/Kelp-based Polymer,83.92,28.31,128.94,183.85,64.53,82.93,55.44,45.04
Recycled PET (rPET),95.21,124.79,173.82,248.89,54.19,85.72,85.33,24.06
Starch-based Polymer,60.59,91.66,96.16,210.4,92.21,39.24,85.43,58.98
Starch-based Polymer,42.61,99.97,148.83,218.69,95.08,64.39,81.71,75.12
PLA (Polylactic Acid),26.72,46.36,73.58,164.35,60.22,96.3,93.55,67.66
Gelatin,29.54,91.56,29.79,243.25,89.89,50.36,57.9,47.84
Polybutylene Succinate (PBS),49.23,24.97,146.92,194.41,87.7,41.89,59.02,81.4
Gelatin,39.3,108.88,66.98,208.19,60.97,65.01,93.8,54.73
Bagasse Fiber Composite,87.68,38.32,191.26,188.11,72.54,95.27,77.25,62.08
PLA (Polylactic Acid),39.39,94.04,121.18,188.41,72.58,65.1,66.71,57.19
Chitosan,39.84,44.11,73.84,224.47,88.6,59.53,88.01,81.85
Natural Fiber Composite,40.73,27.64,157.96,199.52,92.29,76.22,95.16,66.86
Starch-based Polymer,80.85,71.25,42.41,173.17,57.0,95.71,85.78,24.2
Maleic Anhydride Grafted (MAG) Polymers,64.39,38.28,193.93,175.96,79.24,35.34,90.47,52.48
Polybutylene Succinate (PBS),61.15,97.43,121.26,170.74,88.68,42.43,67.14,60.27
Coconut Coir Composite,36.36,45.49,205.97,211.15,89.84,41.03,67.43,41.58
Polybutylene Fumarate (PBF),79.19,56.57,47.45,246.7,59.53,37.8,93.78,80.38
Polycaprolactone (PCL),10.18,80.33,104.9,204.58,77.46,52.54,82.36,68.76
Polyhydroxyvalerate (PHV),83.87,50.5,57.31,150.7,93.23,47.59,64.92,58.79
Polybutylene Fumarate (PBF),52.17,60.32,29.38,201.63,67.63,69.31,78.21,73.21
Starch-based Polymer,42.04,106.53,239.51,165.27,72.69,54.26,85.61,35.45
Polyhydroxyvalerate (PHV),50.79,39.33,185.76,155.16,90.71,59.55,64.21,45.91
Seaweed/Kelp-based Polymer,65.87,29.09,91.52,221.97,56.74,96.05,84.19,53.61
Coconut Coir Composite,7.91,55.08,72.85,209.41,93.33,42.58,56.13,60.14
Coconut Coir Composite,83.94,65.22,63.02,209.92,67.28,58.42,68.11,63.18
Paper-based Composite,46.33,77.71,25.11,200.91,52.57,49.48,85.07,53.59
Polybutylene Adipate Terephthalate (PBAT),37.14,59.73,39.13,232.09,63.62,69.34,61.04,22.62
Recycled PET (rPET),19.02,103.82,39.18,219.89,56.75,82.07,64.38,28.94
Thermoplastic Starch (TPS),45.69,24.56,171.57,204.82,56.89,87.56,94.46,45.53
PHA (Polyhydroxyalkanoates),50.72,66.0,154.76,157.08,85.41,67.04,85.08,52.0
Recycled HDPE,42.51,60.77,148.53,204.31,62.66,90.13,77.05,27.55
Coconut Coir Composite,66.86,88.79,187.6,241.84,96.9,85.39,63.86,20.82
Jute Fiber Composite,44.04,122.44,74.03,214.72,77.03,42.68,69.84,69.76
PHA (Polyhydroxyalkanoates),91.89,74.3,95.48,237.18,74.35,48.69,80.5,27.72
Recycled PP,59.83,124.61,44.77,226.39,73.13,77.68,61.31,28.35
Blended Starch,78.27,52.32,153.11,206.86,85.4,98.29,76.26,46.41
PHA (Polyhydroxyalkanoates),16.46,23.67,234.23,203.73,73.98,57.58,72.93,74.98
Polycaprolactone (PCL),41.95,37.9,217.84,199.31,58.61,47.63,76.03,21.84
Polylactic Acid (PLA) Blends,36.6,62.13,145.42,208.62,94.31,91.1,59.03,26.37
Chitosan,57.2,53.81,166.48,209.53,72.85,45.57,59.08,74.0
Chitosan,83.01,30.66,248.19,200.2,56.02,79.42,98.36,86.12
Jute Fiber Composite,13.72,66.09,136.58,237.59,77.64,34.33,99.06,27.28
Polybutylene Fumarate (PBF),13.21,56.11,219.59,232.63,83.25,33.29,73.72,39.56
Polyhydroxyvalerate (PHV),82.06,33.36,132.65,217.85,65.59,62.71,90.34,83.72
Thermoplastic Starch (TPS),25.62,51.68,26.25,185.75,90.52,76.64,84.24,76.0
Cellulose Acetate,65.98,114.01,234.65,219.3,84.31,41.69,59.55,55.54
Recycled HDPE,54.84,52.3,41.29,193.25,83.39,83.94,67.79,46.4
Chitosan,80.52,95.8,180.48,233.13,72.49,40.75,68.57,24.54
Polylactic Acid (PLA) Blends,17.85,85.04,70.92,183.61,98.19,68.29,81.49,42.59
Polylactic Acid (PLA) Blends,18.27,65.52,226.74,167.89,65.52,52.96,80.76,56.98
Recycled LDPE,56.08,45.65,62.11,184.44,79.94,83.15,96.5,60.88
Cork Composite,90.56,59.37,47.92,201.82,67.18,86.68,90.38,24.2
Alginate,43.52,82.93,118.1,237.59,87.88,36.49,93.44,27.68
PHA (Polyhydroxyalkanoates),35.72,57.45,131.72,208.84,54.77,45.1,95.02,35.58
Natural Fiber Composite,60.49,43.1,207.45,172.43,54.68,92.7,90.9,26.12
Cork Composite,89.15,32.71,194.16,204.05,91.02,60.26,69.45,48.36
Polylactic Acid (PLA) Blends,80.87,113.3,92.14,167.85,73.13,64.42,64.05,84.49
Cellulose Acetate,94.91,66.9,105.46,173.7,68.71,43.43,80.39,76.81
Hemp Fiber Composite,8.78,86.43,150.52,239.92,81.36,99.65,85.78,83.58
Seaweed/Kelp-based Polymer,16.77,72.19,144.62,215.16,85.84,94.77,71.9,71.72
Mycelium-based Material,60.74,112.54,217.58,226.76,62.06,32.14,93.05,56.45
Recycled PP,79.43,78.16,126.03,196.06,61.31,69.45,98.19,30.06
Chitosan,32.03,71.18,224.97,160.64,98.01,91.31,80.28,80.37
Seaweed/Kelp-based Polymer,27.96,118.04,63.19,247.52,80.51,61.28,75.11,76.55
Recycled HDPE,76.45,96.4,218.89,166.17,71.03,61.7,92.8,29.99
Chitosan,11.77,32.19,86.51,172.99,90.57,57.8,55.31,93.64
Blended Starch,39.48,39.17,200.48,236.19,77.45,33.96,60.11,89.0
Polylactic Acid (PLA) Blends,51.56,103.52,147.87,242.89,63.98,85.74,92.93,69.45
Polybutylene Adipate Terephthalate (PBAT),56.39,108.67,220.76,174.97,62.32,63.06,87.73,65.53
Natural Fiber Composite,71.28,77.98,69.34,220.85,71.35,68.11,73.26,47.83
Chitosan,38.19,78.95,179.85,205.14,93.35,49.39,94.91,33.04
Mycelium-based Material,61.02,87.14,214.51,200.92,55.42,85.32,70.3,29.02
Hemp Fiber Composite,58.6,66.78,197.52,192.98,62.88,85.97,83.23,42.13
Cellulose Acetate,55.26,92.23,148.01,165.18,94.92,69.6,83.25,47.51
Cellulose Acetate,63.48,31.86,173.72,165.38,58.28,93.51,62.64,80.41
Polybutylene Succinate (PBS),29.75,121.91,61.18,237.27,82.41,39.88,67.25,59.15
Chitosan,14.27,99.62,65.87,201.5,62.64,85.49,96.15,22.82
Gelatin,17.34,87.06,77.81,176.62,81.28,69.98,62.6,77.73
PLA (Polylactic Acid),26.66,53.81,209.58,153.44,70.7,47.71,62.15,89.91
Maleic Anhydride Grafted (MAG) Polymers,51.06,37.41,54.35,243.75,57.33,41.0,76.17,54.35
Coconut Coir Composite,81.18,63.63,85.25,226.53,80.17,52.47,58.42,43.9
Hemp Fiber Composite,68.87,90.27,231.3,211.46,84.94,90.23,95.17,74.63
Polybutylene Succinate (PBS),76.63,87.32,192.48,195.79,84.81,85.56,58.79,20.61
Seaweed/Kelp-based Polymer,37.85,60.81,187.28,168.06,82.76,75.87,82.44,25.07
Alginate,42.6,85.17,121.96,172.49,76.26,38.14,69.76,30.38
Recycled LDPE,41.63,106.33,180.05,228.71,77.17,96.93,91.04,64.78
Cork Composite,23.77,23.19,147.95,238.8,82.69,52.77,81.21,64.1
PLA (Polylactic Acid),12.2,67.99,31.79,216.94,85.29,73.28,71.98,49.42
Natural Fiber Composite,59.09,100.51,150.48,224.32,83.61,86.61,99.26,86.23
Paper-based Composite,94.36,78.08,121.28,167.84,80.38,41.03,57.23,63.83
Blended Starch,21.55,89.2,41.78,152.02,59.9,76.35,80.66,53.27
Mycelium-based Material,10.91,74.97,95.9,166.5,62.5,34.2,99.52,89.2
Natural Fiber Composite,75.79,125.14,225.28,165.68,64.86,38.92,85.85,27.9
Recycled PP,29.14,26.18,203.87,208.92,96.18,81.17,88.08,56.92
Polyhydroxyvalerate (PHV),80.23,72.26,229.77,195.6,88.57,42.55,55.67,57.96
Polybutylene Succinate (PBS),69.1,30.06,183.51,189.36,78.76,62.16,55.18,54.27
PHA (Polyhydroxyalkanoates),90.5,37.28,163.65,225.38,64.47,48.89,55.85,86.22
Polybutylene Succinate (PBS),42.98,60.86,47.72,187.84,57.77,60.64,99.62,21.64
Coconut Coir Composite,65.38,36.83,40.19,163.65,95.19,37.25,99.06,86.95
Coconut Coir Composite,47.93,122.17,72.99,245.68,94.9,83.33,69.52,58.08
Alginate,62.61,120.38,88.84,205.92,57.76,37.37,67.53,66.03
Maleic Anhydride Grafted (MAG) Polymers,46.58,55.9,157.65,155.59,90.37,88.98,60.88,77.3
Hemp Fiber Composite,23.48,87.96,221.17,158.63,73.72,77.06,69.27,30.02
Hemp Fiber Composite,51.74,76.77,224.32,231.66,67.89,60.33,71.15,48.82
Cork Composite,53.58,106.53,175.35,164.65,87.61,90.92,88.47,54.02
Polycaprolactone (PCL),78.54,86.66,149.87,185.77,81.68,44.66,93.88,38.29
Gelatin,71.9,20.44,72.43,205.48,89.55,49.99,88.4,55.91
Cellulose Acetate,65.55,100.99,235.42,199.96,56.03,41.32,83.81,40.87
Seaweed/Kelp-based Polymer,16.82,99.27,172.71,210.79,67.63,57.95,89.28,57.44
Recycled PET (rPET),70.58,74.23,140.36,243.63,67.67,99.1,88.02,35.43
Thermoplastic Starch (TPS),51.07,115.75,39.43,158.87,68.16,42.95,75.99,70.38
Blended Starch,85.93,116.33,209.08,205.89,76.37,88.51,69.58,35.51
Bagasse Fiber Composite,88.22,75.73,97.01,203.61,65.94,76.33,67.15,58.6
Natural Fiber Composite,11.66,84.61,226.64,227.94,73.61,33.08,85.31,49.62
Hemp Fiber Composite,79.43,125.63,54.58,181.16,69.97,96.25,98.14,40.08
Alginate,10.12,51.96,26.42,150.98,87.43,98.03,80.81,25.95
Polylactic Acid (PLA) Blends,39.29,54.69,117.16,161.33,81.17,94.89,95.99,94.38
Recycled PET (rPET),54.79,39.71,33.4,235.49,83.55,66.12,54.85,21.98
Recycled HDPE,19.89,115.0,29.52,234.29,62.5,46.99,90.59,41.76
Seaweed/Kelp-based Polymer,72.85,99.02,182.73,234.91,67.96,58.61,93.3,35.3
Alginate,7.52,31.56,75.48,179.19,53.51,73.77,83.1,63.81
Gelatin,21.71,124.07,165.13,234.19,57.65,57.76,96.98,44.81
Polylactic Acid (PLA) Blends,58.2,97.59,149.15,179.48,65.09,80.16,81.22,79.59
Polycaprolactone (PCL),70.02,110.22,48.08,187.42,55.61,86.1,65.22,62.91
Hemp Fiber Composite,87.93,25.49,105.66,162.31,81.13,46.24,64.08,93.56
Mycelium-based Material,69.24,73.73,30.53,176.17,99.91,59.54,79.66,21.0
Recycled PP,66.25,94.17,114.09,195.24,57.29,97.13,95.72,74.45
PLA (Polylactic Acid),41.69,77.74,57.86,212.54,91.51,48.99,57.51,32.55
Recycled LDPE,6.89,90.8,37.63,236.47,58.14,55.56,81.88,67.88
PLA (Polylactic Acid),17.42,106.77,89.49,240.65,84.32,34.42,89.46,36.7
Paper-based Composite,54.1,59.94,15.8,171.86,83.05,54.6,59.49,33.34
Recycled LDPE,66.55,110.02,193.08,212.06,95.38,57.22,59.55,31.39
Polycaprolactone (PCL),43.74,37.61,52.17,225.34,57.91,38.79,70.97,44.29
Polybutylene Succinate (PBS),71.47,49.01,162.07,225.84,67.48,32.1,66.74,64.19
Recycled LDPE,52.98,24.99,210.66,187.0,56.81,71.13,63.28,53.2
Thermoplastic Starch (TPS),13.35,58.89,230.55,170.97,71.85,52.5,63.3,25.28
Polybutylene Fumarate (PBF),23.78,60.52,146.03,230.25,95.8,33.21,60.18,71.44
Poly(3-hydroxybutyrate) (PHB),81.15,105.44,200.25,237.8,89.62,90.48,82.18,28.08
Maleic Anhydride Grafted (MAG) Polymers,70.96,89.37,121.87,217.44,86.84,71.74,85.72,20.98
Maleic Anhydride Grafted (MAG) Polymers,85.99,66.52,130.19,164.78,77.82,43.64,86.39,69.37
Recycled HDPE,17.19,89.27,143.49,157.56,94.47,90.84,78.58,54.05
Maleic Anhydride Grafted (MAG) Polymers,94.44,25.98,172.48,223.73,73.85,49.24,97.84,42.83
Cellulose Acetate,25.32,39.44,172.43,183.21,59.61,47.47,94.53,82.62
Nano-cellulose Composite,7.82,86.61,199.56,183.72,92.29,92.84,98.06,20.04
Recycled PET (rPET),95.08,88.13,159.98,185.47,65.78,44.2,72.01,71.87
PHA (Polyhydroxyalkanoates),31.66,102.15,222.42,184.55,55.05,91.77,94.4,89.36
Alginate,65.92,62.96,181.67,159.66,58.49,86.6,89.14,76.62
Polycaprolactone (PCL),22.42,96.7,233.3,190.52,81.43,53.06,69.77,33.16
Alginate,58.15,92.63,191.35,212.53,81.34,34.34,59.08,20.49
Alginate,86.81,122.13,188.6,163.97,64.86,37.61,85.46,29.73
Bagasse Fiber Composite,35.13,43.13,217.19,222.1,87.04,39.45,60.45,32.4
Polybutylene Fumarate (PBF),66.12,78.66,169.12,200.32,89.25,92.57,67.65,74.6
Nano-cellulose Composite,23.42,83.95,57.2,175.97,96.22,59.47,77.12,77.1
Alginate,62.09,125.86,34.5,207.71,80.28,34.21,85.34,28.72
Polybutylene Fumarate (PBF),36.57,41.65,89.22,171.7,89.52,69.85,96.62,27.72
Polybutylene Adipate Terephthalate (PBAT),25.48,75.66,206.38,164.61,88.27,46.14,81.37,63.02
Cork Composite,34.51,56.96,20.1,225.43,64.75,47.99,84.95,80.85
Alginate,22.61,75.94,50.26,193.69,67.24,42.94,68.4,86.64
Chitosan,86.63,44.92,39.94,216.66,75.23,83.82,85.68,26.97
Polybutylene Fumarate (PBF),41.94,25.44,23.74,187.02,53.4,32.04,74.25,72.45
Seaweed/Kelp-based Polymer,28.49,80.87,205.42,245.04,66.63,61.85,93.45,45.94
Recycled LDPE,46.48,55.87,80.7,168.41,75.01,37.91,72.17,69.9
Bagasse Fiber Composite,35.16,39.62,186.3,181.61,57.63,69.56,75.65,49.12
Mycelium-based Material,72.68,54.61,48.35,237.47,58.5,55.53,74.01,46.18
Polybutylene Succinate (PBS),92.76,25.61,111.1,237.75,74.5,33.93,91.35,42.67
Coconut Coir Composite,45.56,120.77,42.37,178.31,87.22,63.35,97.88,60.85
Cork Composite,83.01,81.77,15.58,230.25,92.1,70.8,69.19,50.73
Poly(3-hydroxybutyrate) (PHB),56.88,106.44,159.09,222.55,78.45,48.84,75.96,38.39
Cork Composite,20.7,65.09,128.03,230.75,75.05,84.05,86.53,78.34
Polybutylene Adipate Terephthalate (PBAT),67.92,115.79,112.91,156.35,70.75,57.23,95.21,25.13
Nano-cellulose Composite,52.23,71.44,33.48,192.27,61.67,82.96,76.81,78.26
Poly(3-hydroxybutyrate) (PHB),64.38,81.01,153.23,176.24,59.46,71.37,59.19,26.55
Polycaprolactone (PCL),85.54,72.34,198.3,237.77,90.12,91.11,71.09,53.26
Polyhydroxyvalerate (PHV),45.77,97.84,30.8,150.86,74.59,69.19,79.41,74.44
Maleic Anhydride Grafted (MAG) Polymers,86.56,80.24,112.16,194.46,90.04,44.62,73.32,54.03
Nano-cellulose Composite,73.24,49.09,88.22,171.58,85.94,87.94,62.74,86.16
Gelatin,50.04,35.78,224.59,181.15,61.71,85.25,55.89,20.88
Bagasse Fiber Composite,60.18,84.41,76.72,247.14,76.74,98.12,85.68,31.12
Seaweed/Kelp-based Polymer,35.6,72.06,236.91,245.38,73.59,38.36,99.67,59.22
Cork Composite,93.86,30.54,209.67,236.02,72.63,72.2,96.3,93.63
Maleic Anhydride Grafted (MAG) Polymers,65.86,62.18,38.54,246.29,78.27,65.43,85.49,76.03
Mycelium-based Material,10.66,74.77,127.95,249.4,99.15,77.62,92.74,35.52
Mycelium-based Material,35.7,107.72,167.52,232.65,91.11,98.65,65.91,46.78
Chitosan,61.96,28.45,154.37,154.68,95.43,68.19,82.71,37.0
Bagasse Fiber Composite,11.77,57.21,174.62,161.24,53.91,78.63,56.98,57.58
Chitosan,8.89,107.27,115.18,189.46,59.17,55.61,86.59,36.68
Recycled PP,46.62,88.88,227.61,159.19,56.53,52.33,98.62,69.88
Hemp Fiber Composite,36.23,51.03,78.53,214.87,65.0,54.8,93.62,29.79
Paper-based Composite,45.58,109.67,37.11,233.09,73.49,34.63,78.68,21.15
Thermoplastic Starch (TPS),30.04,72.5,244.82,215.34,83.0,51.36,90.32,58.97
Polybutylene Succinate (PBS),21.36,73.03,168.21,206.56,76.29,43.76,97.43,57.23
Polybutylene Adipate Terephthalate (PBAT),67.79,123.53,169.91,206.55,95.4,63.11,64.09,80.08
Hemp Fiber Composite,52.33,120.42,207.12,182.65,97.14,63.34,90.53,51.87
Polylactic Acid (PLA) Blends,24.5,58.27,114.04,233.26,60.27,84.04,66.56,69.67
Chitosan,35.07,35.25,105.77,230.44,93.01,66.16,94.36,37.74
Starch-based Polymer,59.17,54.8,238.05,182.13,75.38,63.49,58.7,23.91
Nano-cellulose Composite,13.17,23.63,105.89,233.61,74.03,47.75,62.36,57.79
Nano-cellulose Composite,19.83,22.6,33.44,215.33,89.78,89.97,87.2,86.19
Alginate,13.26,62.17,87.34,202.52,56.92,38.19,62.2,55.58
Paper-based Composite,78.69,119.77,220.28,229.19,94.42,98.8,61.44,94.05
Alginate,73.39,112.42,37.32,231.64,84.37,64.37,79.64,81.4
Recycled LDPE,73.47,74.41,183.43,225.75,94.07,44.65,92.44,46.85
Mycelium-based Material,70.2,80.09,77.6,193.29,99.74,56.09,66.5,65.39
Jute Fiber Composite,66.04,21.04,190.26,242.96,77.11,33.05,92.72,61.53
PHA (Polyhydroxyalkanoates),49.01,43.16,135.92,182.65,56.93,43.32,91.2,38.23
Gelatin,63.64,23.03,164.6,171.05,60.41,54.8,80.72,29.03
PLA (Polylactic Acid),10.18,100.08,72.15,237.46,67.87,69.7,83.81,41.81
Alginate,61.8,35.79,54.51,202.18,57.42,40.8,56.05,25.46
Paper-based Composite,75.65,112.17,29.88,158.7,91.23,77.97,71.01,52.74
Natural Fiber Composite,51.08,88.34,209.01,180.54,66.6,89.41,66.26,89.86
Recycled HDPE,38.43,44.63,181.96,201.61,98.85,70.92,61.07,90.67
PLA (Polylactic Acid),31.34,37.06,83.94,244.91,85.87,52.19,72.05,52.75
Poly(3-hydroxybutyrate) (PHB),63.69,86.68,211.67,154.82,60.74,40.25,70.45,23.3
Polycaprolactone (PCL),68.11,115.53,210.92,193.88,75.11,33.06,87.58,80.96
Coconut Coir Composite,83.89,96.26,47.37,237.08,74.68,81.76,81.59,61.29
Recycled PP,37.09,57.21,182.72,159.87,75.89,74.74,96.02,61.96
Recycled PP,74.93,82.43,83.69,239.38,77.95,64.39,60.86,31.5
Polybutylene Fumarate (PBF),56.48,53.22,124.79,203.05,53.98,38.94,56.94,29.55
Seaweed/Kelp-based Polymer,84.94,125.91,116.08,202.49,85.1,46.08,78.69,35.63
Paper-based Composite,53.51,99.48,156.04,156.7,75.64,87.43,54.25,93.2
Blended Starch,52.61,85.28,96.58,238.99,90.07,64.63,90.28,22.29
Thermoplastic Starch (TPS),57.94,65.1,32.21,174.74,91.23,97.47,77.37,84.38
PHA (Polyhydroxyalkanoates),73.12,85.68,173.07,206.48,63.45,100.0,76.55,39.04
Recycled PP,92.18,56.48,240.73,239.36,54.8,86.45,70.8,61.4
Bagasse Fiber Composite,13.29,23.46,171.95,248.41,85.9,49.56,71.37,42.08
Cellulose Acetate,11.51,62.13,141.81,170.46,98.94,47.72,73.95,33.54
Mycelium-based Material,89.78,118.66,53.45,216.48,73.72,49.25,54.93,84.28
Polyhydroxyvalerate (PHV),53.69,86.54,161.92,182.72,64.83,99.1,58.03,26.72
Mycelium-based Material,61.22,29.27,158.61,177.82,59.94,54.8,77.33,48.47
Polyhydroxyvalerate (PHV),49.49,113.86,160.41,195.97,66.15,80.04,61.08,51.15
Recycled HDPE,15.07,48.8,224.69,215.77,68.08,97.21,89.87,29.38
Poly(3-hydroxybutyrate) (PHB),74.78,46.15,183.34,241.18,72.63,87.73,66.77,73.1
PHA (Polyhydroxyalkanoates),72.93,51.78,199.1,184.5,83.63,72.64,58.68,91.38
Polycaprolactone (PCL),34.38,81.36,88.63,200.12,65.48,43.49,64.97,55.22
Natural Fiber Composite,33.89,77.92,78.54,160.12,54.92,43.9,70.56,84.3
Recycled HDPE,80.95,72.3,63.59,194.0,70.23,65.48,55.82,88.05
Recycled HDPE,13.19,96.17,197.92,226.3,93.14,96.73,60.69,50.82
Mycelium-based Material,84.78,53.83,179.17,158.7,76.17,93.51,69.03,49.86
Starch-based Polymer,29.5,102.99,95.39,248.27,98.33,43.3,68.42,58.85
Recycled LDPE,59.28,38.92,48.16,234.59,76.42,51.56,90.86,43.44
Recycled HDPE,89.64,103.05,213.97,185.29,65.61,72.04,92.82,23.89
Cellulose Acetate,66.81,90.5,105.31,242.4,61.68,64.47,63.06,77.87
Natural Fiber Composite,43.47,92.55,59.59,225.74,85.49,40.12,59.88,25.49
Poly(3-hydroxybutyrate) (PHB),67.82,71.26,48.94,200.75,77.98,57.11,83.24,26.03
Jute Fiber Composite,37.23,90.84,231.12,242.36,81.19,96.92,91.05,77.21
Starch-based Polymer,31.33,28.84,45.59,172.78,88.37,96.7,98.34,65.36
Bagasse Fiber Composite,95.02,110.33,99.52,172.13,86.98,70.04,54.51,51.3
Polybutylene Fumarate (PBF),73.25,26.28,163.57,153.31,54.56,75.2,73.15,79.79
Blended Starch,63.86,36.12,110.9,153.99,90.62,47.09,87.82,48.52
Bagasse Fiber Composite,38.23,81.31,127.2,204.84,77.8,82.45,92.15,63.68
Nano-cellulose Composite,11.13,98.48,203.62,192.37,71.11,35.57,57.05,53.47
Starch-based Polymer,9.53,28.46,249.82,243.56,78.03,47.01,85.37,47.76
Polycaprolactone (PCL),55.84,117.63,124.8,171.38,81.59,32.4,67.43,67.27
Jute Fiber Composite,74.24,123.21,104.02,214.8,59.6,58.23,57.62,77.18
Polybutylene Succinate (PBS),54.35,84.39,110.59,181.84,72.33,89.82,76.6,43.35
Seaweed/Kelp-based Polymer,81.21,71.22,101.74,230.88,68.44,98.81,61.44,89.87
Maleic Anhydride Grafted (MAG) Polymers,9.74,98.69,126.34,239.31,69.14,77.41,87.95,70.95
Mycelium-based Material,39.25,55.08,93.28,201.74,56.84,82.65,88.15,20.33
Starch-based Polymer,27.77,72.49,123.71,217.33,60.09,49.87,92.77,26.02
PLA (Polylactic Acid),46.38,117.15,237.18,238.59,60.19,67.38,71.49,88.14
Chitosan,13.19,121.32,82.26,191.64,70.23,82.09,54.81,28.58
Seaweed/Kelp-based Polymer,91.25,118.3,168.19,200.7,94.99,65.81,66.1,82.11
Polycaprolactone (PCL),26.54,48.12,129.43,161.68,62.29,38.02,75.63,91.3
Starch-based Polymer,88.43,44.96,187.11,243.4,72.27,82.38,85.99,48.81
Seaweed/Kelp-based Polymer,44.48,51.84,125.99,201.03,67.3,46.93,71.7,32.67
Maleic Anhydride Grafted (MAG) Polymers,94.03,67.01,52.73,184.83,89.9,38.64,78.75,51.57
Polyhydroxyvalerate (PHV),55.83,53.58,220.02,238.41,54.88,64.51,78.21,80.45
Polyhydroxyvalerate (PHV),89.19,59.92,173.81,232.44,61.84,37.07,61.76,83.98
Cellulose Acetate,7.25,85.94,138.58,172.5,62.51,74.8,82.74,55.96
Natural Fiber Composite,73.02,100.93,210.3,242.26,99.67,75.55,74.32,80.49
Paper-based Composite,86.73,98.08,244.4,202.67,79.61,49.46,91.2,81.23
Hemp Fiber Composite,19.15,106.4,111.21,197.95,59.1,97.59,85.83,28.55
Polybutylene Adipate Terephthalate (PBAT),15.29,23.81,97.97,201.34,65.43,88.06,59.31,75.53
PHA (Polyhydroxyalkanoates),44.37,25.45,192.09,155.57,60.47,39.45,76.59,77.6
Thermoplastic Starch (TPS),89.44,103.76,121.83,207.73,58.42,82.9,86.37,20.59
Recycled PP,54.8,76.7,35.16,156.91,90.37,56.01,58.19,27.44
PHA (Polyhydroxyalkanoates),53.48,81.46,98.29,164.96,76.05,83.02,90.5,37.56
Seaweed/Kelp-based Polymer,19.27,25.96,205.03,243.04,82.48,86.45,64.37,42.56
Jute Fiber Composite,6.85,47.37,181.07,243.05,68.23,42.29,77.24,25.23
Seaweed/Kelp-based Polymer,78.5,87.81,217.77,157.58,78.8,77.01,97.28,73.34
Polylactic Acid (PLA) Blends,14.53,111.13,49.46,210.9,64.73,90.67,80.37,61.62
Coconut Coir Composite,62.89,117.23,72.32,152.92,67.13,53.99,73.62,54.66
Polybutylene Fumarate (PBF),87.75,73.25,65.46,249.94,83.48,37.46,54.51,65.65
Maleic Anhydride Grafted (MAG) Polymers,25.25,78.01,243.26,230.8,59.64,33.85,60.31,39.58
Jute Fiber Composite,65.68,108.37,54.7,163.99,81.82,39.48,80.7,86.09
Bagasse Fiber Composite,13.75,77.18,155.51,171.76,92.98,32.29,76.82,34.55
Recycled HDPE,60.23,74.99,163.73,154.11,58.22,54.23,70.86,93.13
PLA (Polylactic Acid),21.29,115.98,160.44,222.38,95.13,52.35,96.48,93.19
Polyhydroxyvalerate (PHV),71.93,103.82,177.54,181.38,56.27,39.5,69.43,32.75
Chitosan,33.45,116.4,128.72,162.04,69.07,76.28,78.8,51.63
Starch-based Polymer,47.8,43.45,34.67,218.46,81.5,99.45,80.25,40.9
Blended Starch,59.85,75.78,179.79,209.29,79.07,93.26,78.36,63.35
Recycled LDPE,21.94,109.37,81.06,242.5,57.08,49.19,76.07,27.41
Recycled LDPE,72.44,32.15,32.83,185.16,90.45,84.36,69.64,27.73
Paper-based Composite,33.57,104.32,54.9,223.41,98.72,95.71,95.82,83.4
Coconut Coir Composite,65.42,39.73,82.5,159.62,61.11,93.63,74.85,78.38
Blended Starch,20.79,105.74,116.62,235.66,95.02,92.15,78.4,58.32
Paper-based Composite,67.7,85.03,217.41,221.26,78.95,85.48,84.27,91.01
Cork Composite,18.13,40.81,141.08,161.63,96.96,51.92,57.3,58.1
Hemp Fiber Composite,44.44,70.39,125.91,223.82,60.86,37.68,89.98,57.93
Blended Starch,28.67,92.41,59.95,153.49,90.12,65.17,77.67,47.64
Mycelium-based Material,73.03,87.34,240.43,243.28,55.34,35.73,84.3,31.63
Polybutylene Fumarate (PBF),29.98,65.52,228.5,226.64,94.45,99.9,89.56,48.75
Bagasse Fiber Composite,84.84,115.37,206.78,209.21,84.52,56.37,94.23,56.97
Poly(3-hydroxybutyrate) (PHB),85.73,75.24,90.94,231.77,70.09,97.17,72.16,77.11
Bagasse Fiber Composite,24.17,73.82,146.98,152.07,61.55,84.57,91.36,36.13
Recycled PP,61.12,26.98,106.38,173.73,91.29,59.97,66.05,52.24
PLA (Polylactic Acid),14.55,117.78,109.68,207.99,81.15,40.05,84.44,62.46
PLA (Polylactic Acid),41.44,39.11,31.95,185.4,69.62,48.13,58.9,54.98
Blended Starch,69.93,76.2,47.91,151.2,73.58,77.77,55.12,68.17
Natural Fiber Composite,65.16,105.26,240.87,228.53,91.76,88.44,58.59,38.5
Jute Fiber Composite,62.08,43.16,158.37,169.69,68.6,98.6,68.83,80.62
Paper-based Composite,31.79,76.1,16.48,248.45,56.76,40.99,55.62,39.11
Recycled PET (rPET),40.25,45.82,205.16,176.0,95.79,42.6,83.08,74.58
